lagtime	RRD_p|all	se_p|all
78	1.21701334245707e-05	1.82845019813964e-05
79	1.77719047838997e-05	1.83593236754586e-05
80	2.1643272657913e-05	1.85959795696379e-05
81	2.46461347873511e-05	1.93329405122725e-05
82	2.56917433487123e-05	2.03685513951671e-05
83	2.5844074868797e-05	2.13816258001285e-05
84	2.56455523309884e-05	2.20858484247153e-05
85	2.64511049611386e-05	2.25087177511994e-05
86	2.31925006001763e-05	2.25689888094826e-05
87	1.84595509684962e-05	2.23664796938876e-05
88	1.35673783038209e-05	2.17585343631795e-05
89	1.1255668570919e-05	2.07533356167649e-05
90	8.53475636100304e-06	1.98797355089788e-05
91	8.35374572789986e-06	1.94521278467096e-05
92	1.00271680965215e-05	1.95666313933581e-05
93	1.23852195103568e-05	1.99999939079238e-05
94	1.25539754695157e-05	2.05469941778361e-05
95	1.17872479511565e-05	2.08933095083233e-05
96	8.87466109716844e-06	2.1059540404075e-05
97	2.12454429697101e-06	2.11027384313714e-05
98	-3.58952288375141e-06	2.09633995953832e-05
99	-7.45766493077353e-06	2.07771589027367e-05
100	-1.00280342043205e-05	2.04846451707605e-05
101	-1.23445903570384e-05	2.02599234203407e-05
102	-1.297525110119e-05	2.01067811180291e-05
103	-1.12432824208574e-05	2.00567770103451e-05
104	-8.42535907409242e-06	1.99687611108411e-05
105	-5.8706522509279e-06	1.98140523750012e-05
106	-4.13256400067133e-06	1.96240333582352e-05
107	-3.87391249768681e-06	1.93734805060615e-05
108	-4.09250241149941e-06	1.93123624856398e-05
109	-5.1927545685456e-06	1.93950944571126e-05
110	-6.00027527220221e-06	1.95039593925837e-05
111	-5.03951319898656e-06	1.95376140304273e-05
112	-5.24831358654849e-06	1.94613980831652e-05
113	-5.23694942427127e-06	1.93317681201849e-05
114	-6.04143580905314e-06	1.91961304561577e-05
115	-5.38281033047191e-06	1.90963491641184e-05
116	-4.73201431626653e-06	1.90132241683162e-05
117	-4.89173735779934e-06	1.9033728575858e-05
118	-3.30192242633831e-06	1.90161264633256e-05
119	-1.61717297049454e-06	1.88937814039392e-05
120	-2.14654435917721e-06	1.87271531582495e-05
