timestep	time	weight	P	Q	Qfitted	Qresidual
1706	1706	0	2.3	3.32420930395779e-05		
1707	1707	0	7.3	3.66875307058681e-05		
1708	1708	0	0.3	4.13452519954827e-05		
1709	1709	0	0	3.96225331623375e-05		
1710	1710	0	0	4.06434035819791e-05		
1711	1711	0	1.5	4.30679708286278e-05		
1712	1712	0	9.6	4.89379757415667e-05		
1713	1713	0	5.9	5.19367825992637e-05		
1714	1714	0	0	5.14263473894429e-05		
1715	1715	0	0.3	4.93846065501598e-05		
1716	1716	0	9.1	5.20005870004913e-05		
1717	1717	0	0	5.43613498459124e-05		
1718	1718	0	0	5.09797165808498e-05		
1719	1719	0	0	4.94484109513874e-05		
1720	1720	0	0	4.77894965194699e-05		
1721	1721	0	0.8	4.69600393035112e-05		
1722	1722	0	3	4.86189537354287e-05		
1723	1723	0	1.4	5.09159121796222e-05		
1724	1724	0	7.6	5.68497214937886e-05		
1725	1725	0	0	6.25283132030447e-05		
1726	1726	0	2.8	7.01848413503564e-05	-0.00065005449933112	0.000720239340681476
1727	1727	0	0	8.93261617186353e-05	-0.000704982836411902	0.000794308998130538
1728	1728	0	0	9.06022497431873e-05	-0.000748173677604571	0.000838775927347759
1729	1729	1	0	8.35837656081517e-05	-0.000730315751990788	0.00081389951759894
1730	1730	1	0	7.7203325485392e-05	-0.000667177973028727	0.000744381298514119
1731	1731	1	0	7.20989733871842e-05	-0.000608413213039206	0.00068051218642639
1732	1732	1	0	6.76326653012525e-05	-0.000550913092968607	0.00061854575826986
1733	1733	1	0	6.44424452398727e-05	-0.000520013552778875	0.000584455998018748
1734	1734	1	0	6.22092911969068e-05	-0.000482795467448227	0.000545004758645134
1735	1735	1	0	6.19540735919964e-05	-0.000453307214574823	0.00051526128816682
1736	1736	1	6.6	6.63565772767006e-05	-0.000433603251784426	0.000499959829061127
1737	1737	1	0	6.89087533258044e-05	-0.000462682581512838	0.000531591334838643
1738	1738	1	0	6.76326653012525e-05	-0.000435597568146519	0.000503230233447771
1739	1739	1	0	6.82707093135285e-05	-0.000397244702353235	0.000465515411666764
1740	1740	1	0	7.08228853626323e-05	-0.000364312406260598	0.00043513529162323
1741	1741	1	0.3	7.33750614117362e-05	-0.000371827816916129	0.000445202878327865
1742	1742	1	2.3	7.33750614117362e-05	-0.000432661299814648	0.000506036361226385
1743	1743	1	0	7.14609293749083e-05	-0.000451739357836669	0.000523200287211578
1744	1744	1	2.8	7.08228853626323e-05	-0.000450656751112208	0.00052147963647484
1745	1745	1	0	7.14609293749083e-05	-0.000445900224914747	0.000517361154289655
1746	1746	1	0	7.08228853626323e-05	-0.00044773692989052	0.000518559815253152
1747	1747	1	0	7.01848413503564e-05	-0.000472371049838203	0.00054255589118856
1748	1748	1	0	7.01848413503564e-05	-0.000520402803875462	0.000590587645225818
1749	1749	1	0	6.95467973380804e-05	-0.000577994367834257	0.000647541165172337
1750	1750	1	0	6.95467973380804e-05	-0.000627466574718083	0.000697013372056164
1751	1751	1	4.3	7.20989733871842e-05	-0.000660866609375178	0.000732965582762362
1752	1752	1	0.3	7.20989733871842e-05	-0.000676200501454058	0.000748299474841243
1753	1753	1	3.3	7.01848413503564e-05	-0.000669148728575196	0.000739333569925552
1754	1754	1	0	7.01848413503564e-05	-0.000647954958604424	0.000718139799954781
1755	1755	1	0	6.89087533258044e-05	-0.000647080439824115	0.000715989193149919
1756	1756	1	0	6.89087533258044e-05	-0.000633844850753918	0.000702753604079723
1757	1757	1	0	7.08228853626323e-05	-0.000608224799341877	0.000679047684704509
1758	1758	1	0	7.27370173994602e-05	-0.000570569119497067	0.000643306136896528
1759	1759	1	0	7.33750614117362e-05	-0.000530152183748338	0.000603527245160074
1760	1760	1	0	7.52891934485641e-05	-0.000488685260959128	0.000563974454407692
1761	1761	1	0	7.59272374608401e-05	-0.000461737248085579	0.000537664485546419
1762	1762	1	0	7.6565281473116e-05	-0.000510285595787122	0.000586850877260238
1763	1763	1	0.3	7.7841369497668e-05	-0.000574873558705431	0.000652714928203099
1764	1764	1	9	8.29457215958757e-05	-0.00059802792025684	0.000680973641852716
1765	1765	1	4.3	9.18783377677392e-05	-0.000592887783490018	0.000684766121257757
