lagtime	RRD_p|gw1.39-1.54	RRD_p|gw1.54-1.64	RRD_p|gw1.64-1.77	RRD_p|gw1.77-3.61	se_p|gw1.39-1.54	se_p|gw1.54-1.64	se_p|gw1.64-1.77	se_p|gw1.77-3.61
47	-1.38442966771942e-05	-3.36129805666961e-05	-2.469554537379e-05	6.04662044259077e-06	2.36001413256909e-05	4.37919893890241e-05	3.40049931395718e-05	3.72184914091664e-05
48	-1.49202606355559e-05	-3.58886725905913e-05	-1.83765700830757e-05	-1.75970485018404e-06	2.30434766259688e-05	4.27796879568866e-05	3.36082294167697e-05	3.8056255435575e-05
49	-1.59024240120174e-05	-3.84883121096182e-05	-1.02084929280835e-05	-9.56380353212297e-06	2.24628095159353e-05	4.17549843668415e-05	3.27835948626061e-05	3.86184295314389e-05
50	-1.68512512805451e-05	-4.7191742670944e-05	-4.3319222688715e-06	-3.09159209309493e-05	2.18448094270715e-05	4.08445133145108e-05	3.16143610537828e-05	3.92418272304839e-05
51	-1.54156359434922e-05	-5.04908398490443e-05	-4.92716498855332e-07	-4.53234441196286e-05	2.12780865628112e-05	4.01150727973191e-05	3.03641134614026e-05	3.99574709409476e-05
52	-1.30787577871645e-05	-5.22384823268345e-05	2.88809849804594e-06	-5.3147103866097e-05	2.08886842546658e-05	3.9542612863057e-05	2.92848136392583e-05	4.03428688626777e-05
53	-8.07931596651052e-06	-5.02775410668588e-05	1.09436360291694e-05	-5.51467292697293e-05	2.07703416244384e-05	3.90445612783645e-05	2.86227953664703e-05	4.07845822931451e-05
54	-3.18522925976402e-06	-4.57285009064976e-05	2.04731834802031e-05	-5.76193491930446e-05	2.0870444796798e-05	3.85133069797876e-05	2.80924767794845e-05	4.1602128470943e-05
55	7.56888287019591e-07	-3.64611768898823e-05	1.96294466263729e-05	-6.43368101788037e-05	2.10390103480073e-05	3.78788908383687e-05	2.77700406150714e-05	4.30636249024658e-05
56	3.46236707011504e-06	-2.39960811467355e-05	1.44133145707593e-05	-7.36696399768066e-05	2.11942346298006e-05	3.70947489873437e-05	2.75234173949606e-05	4.51373164407703e-05
57	4.45452843686374e-06	-1.04957969301872e-05	8.97361855067646e-06	-7.65700852642456e-05	2.130595632129e-05	3.61946520095957e-05	2.79896284510288e-05	4.73734881295536e-05
58	4.867415510284e-06	-3.55848660750994e-06	2.72026773818102e-06	-6.71048778408236e-05	2.13798149087421e-05	3.52346188846713e-05	2.85983102879577e-05	4.95106495679797e-05
59	5.16580183450742e-06	3.16948552892198e-06	-2.74260398434952e-06	-6.06292674973889e-05	2.13620233499421e-05	3.42933942461714e-05	2.87353980775086e-05	5.0936410822376e-05
60	5.46960464524761e-06	8.93592858555981e-06	-7.93008709536996e-06	-5.86400039529354e-05	2.12994521901995e-05	3.34174304007421e-05	2.81777412151933e-05	5.15634348720625e-05
